FirstName,LastName,SamAccountName,Title,Manager,Department,PhoneNumber
Hasan,AY,hasan.ay,Genel Müdür,,Genel Müdürlük,2200
Ali,KÜÇÜK,ali.kucuk,Özel Kalem Müdürü,hasan.ay,Genel Müdürlük,2201
Mehmet,DEMİRKENT,mehmet.demirkent,Genel Müdür Yardımcısı,hasan.ay,Genel Müdürlük,2202
Murat,AKKUŞ,murat.akkus,Genel Müdür Yardımcısı,hasan.ay,Genel Müdürlük,2203
İbrahim,ÇINAR,ibrahim.cinar,Genel Müdür Yardımcısı,hasan.ay,Genel Müdürlük,2204
Mustafa,ALTINOK,mustafa.altinok,Genel Müdür Yardımcısı,hasan.ay,Genel Müdürlük,2205
Zeynep,AĞCA,zeynep.agca,Özel Kalem Personeli,ali.kucuk,Genel Müdürlük,2206
Sema,TAŞ,sema.tas,Özel Kalem Uzmanı,ali.kucuk,Genel Müdürlük,2207
Hatice,KIZILOĞLU,hatice.kiziloglu,Özel Kalem Sorumlusu,ali.kucuk,Genel Müdürlük,2208
İlker,KÜÇÜK,ilker.kucuk,Özel Kalem Müdür Yardımcısı,ali.kucuk,Genel Müdürlük,2209
Gülşah,ARICI,gulsah.arici,Müdür,mustafa.altinok,Bilgi ve İletişim Teknolojileri Müdürlüğü,2210
Mesut,GAVGA,mesut.gavga,Sistem Uzmanı,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2211
Erkan,ÖZTÜRK,erkan.ozturk,Yazılım Uzmanı,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2212
Feray,GÜLER,feray.guler,Destek Uzmanı,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2213
Münevver,ARSLAN,munevver.arslan,Müdür Yardımcısı,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2214
Merve,SARI,merve.sari,Büro Personeli,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2215
Eda,TÜRKAN,eda.turkan,Sistem Sorumlusu,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2216
Nuray,BAĞCIOĞLU,nuray.bagcioglu,Yazılım Sorumlusu,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2217
Nadir,ÖZCAN,nadir.ozcan,Destek Sorumlusu,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2218
Etkin,ÖZGEN,etkin.ozgen,Müdür Yardımcısı,gulsah.arici,Bilgi ve İletişim Teknolojileri Müdürlüğü,2219
Oğulcan,ÖZARSLAN,ogulcan.ozarslan,Müdür,ibrahim.cinar,İnsan Kaynakları Müdürlüğü,2220
Mehmet,TATLI,mehmet.tatli,Personel Temin Uzmanı,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2221
Çiğdem,YOLERİ,cigdem.yoleri,Personel Temin Sorumlusu,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2222
Ali,SALMANLI,ali.salmanli,Puantaj ve Ücretleme Uzmanı,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2223
Didem,EKŞİOĞLU,didem.eksioglu,Puantaj ve Ücretleme Sorumlusu,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2224
Ozan,YILMAZ,ozan.yilmaz,Eğitim ve Sosyal İşler Uzmanı,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2225
Meriç,TANYELİ,meric.tanyeli,Eğitim ve Sosyal İşler Sorumlusu,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2226
Selin,BAYTUR,selin.baytur,Müdür Yardımcısı,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2227
Firdevs,ERİM,firdevs.erim,Müdür Yardımcısı,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2228
Serap,ÇEVİK,serap.cevik,Büro Personeli,ogulcan.ozarslan,İnsan Kaynakları Müdürlüğü,2229
Serkan,SAPOĞLU,serkan.sapoglu,Müdür,murat.akkus,Muhasebe Müdürlüğü,2230
Besra,ÖZER,besra.ozer,Büro Personeli,serkan.sapoglu,Muhasebe Müdürlüğü,2231
Murat,GÜREL,murat.gurel,Bütçe Uzmanı,serkan.sapoglu,Muhasebe Müdürlüğü,2232
Betül,BAŞBUĞ,betul.basbug,Bütçe Sorumlusu,serkan.sapoglu,Muhasebe Müdürlüğü,2233
Sercan,ERGÖRMÜŞ,sercan.ergormus,Şubeler Uzmanı,serkan.sapoglu,Muhasebe Müdürlüğü,2234
Çağla,PAK,cagla.pak,Şubeler Sorumlusu,serkan.sapoglu,Muhasebe Müdürlüğü,2235
Semih,ZEREN,semih.zeren,Finans Uzmanı,serkan.sapoglu,Muhasebe Müdürlüğü,2236
Nursaç,TANRIVER,nursac.tanriver,Finans Sorumlusu,serkan.sapoglu,Muhasebe Müdürlüğü,2237
Kerim,KENAR,kerim.kenar,Müdür Yardımcısı,serkan.sapoglu,Muhasebe Müdürlüğü,2238
İlker,ÇELİK,ilker.celik,Müdür Yardımcısı,serkan.sapoglu,Muhasebe Müdürlüğü,2239
Oğuz,ÖZDEMİR,oguz.ozdemir,Müdür,mehmet.demirkent,Destek Hizmetleri Müdürlüğü,2240
Burak,YÜCEL,burak.yucel,Büro Personeli,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2241
Tahir,OĞHAN,tahir.oghan,Aşçı,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2242
Hatice,KARAMAN,hatice.karaman,Mekanik Uzmanı,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2243
Gözde,UZER,gozde.uzer,Elektrik Teknisyeni,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2244
Tenzile,ORHON,tenzile.orhon,Tesisatçı,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2245
Hülya,SARIÇAM,hulya.saricam,Makine Mühendisi,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2246
Hatice,ŞENTUNA,hatice.sentuna,Elektrik Mühendisi,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2247
Didem,ŞİMŞEK,didem.simsek,Müdür Yardımcısı,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2248
Sinan,YILDIZ,sinan.yildiz,Bilgisayar İşletmeni,oguz.ozdemir,Destek Hizmetleri Müdürlüğü,2249
